date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:01	139859/139859	---M--	200	added ('OK')	image/png	etag:%22090e7b98a95e83cee406aa627da7b5af%22	https://static.wixstatic.com/media/418f32_229afbdf67d1405b8699a3bb5e85e092~mv2.png/v1/fill/w_592,h_379,fp_0.50_0.50/418f32_229afbdf67d1405b8699a3bb5e85e092~mv2.png	C:/My%20Web%20Sites/futre/static.wixstatic.com/media/418f32_229afbdf67d1405b8699a3bb5e85e092_mv2.png/v1/fill/w_592,h_379,fp_0.50_0.50/418f32_229afbdf67d1405b8699a3bb5e85e092_mv2.png	(from https://www.future2030.net/)
17:10:02	317226/317226	---M--	200	added ('OK')	image/png	etag:%2203ec82347698f7a965250ceafcdc1fc8%22	https://static.wixstatic.com/media/adc99d_30cedee0bb4d40d5b4d867b70445e4a5~mv2.png/v1/fill/w_398,h_379,fp_0.50_0.50/adc99d_30cedee0bb4d40d5b4d867b70445e4a5~mv2.png	C:/My%20Web%20Sites/futre/static.wixstatic.com/media/adc99d_30cedee0bb4d40d5b4d867b70445e4a5_mv2.png/v1/fill/w_398,h_379,fp_0.50_0.50/adc99d_30cedee0bb4d40d5b4d867b70445e4a5_mv2.png	(from https://www.future2030.net/)
17:10:02	16925/16925	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Apr%202020%2012:12:30%20GMT	https://static.wixstatic.com/media/adc99d_325d36954ffb4704ad6a36f49e63781d~mv2.jpg/v1/fill/w_592,h_379,fp_0.50_0.50,q_90/adc99d_325d36954ffb4704ad6a36f49e63781d~mv2.jpg	C:/My%20Web%20Sites/futre/static.wixstatic.com/media/adc99d_325d36954ffb4704ad6a36f49e63781d_mv2.jpg/v1/fill/w_592,h_379,fp_0.50_0.50,q_90/adc99d_325d36954ffb4704ad6a36f49e63781d_mv2.jpg	(from https://www.future2030.net/)
17:10:03	524150/524150	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202020%2014:09:59%20GMT	https://www.future2030.net/tsjyl-dkhwl	C:/My%20Web%20Sites/futre/www.future2030.net/tsjyl-dkhwl.html	(from https://www.future2030.net/)
17:10:04	4950/4950	---M--	200	added ('OK')	image/png	etag:%2248592399b1947105ac32d7a433e14894%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/liftedshadow_medium.png	C:/My%20Web%20Sites/futre/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/liftedshadow_medium.png	(from https://www.future2030.net/dwrat-mjanyh)
17:10:06	544187/544187	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202020%2014:10:02%20GMT	https://www.future2030.net/tbkh	C:/My%20Web%20Sites/futre/www.future2030.net/tbkh.html	(from https://www.future2030.net/services)
17:10:06	3657/3657	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Apr%202020%2014:10:03%20GMT	https://static.wixstatic.com/media/adc99d_63a527751e6246259f069f203d143cad~mv2.jpg/v1/fill/w_154,h_154,al_c,q_80,usm_0.66_1.00_0.01,blur_3/cook_edited.jpg	C:/My%20Web%20Sites/futre/static.wixstatic.com/media/adc99d_63a527751e6246259f069f203d143cad_mv2.jpg/v1/fill/w_154,h_154,al_c,q_80,usm_0.66_1.00_0.01,blur_3/cook_edited.jpg	(from https://www.future2030.net/services)
17:10:07	542444/542444	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202020%2014:10:03%20GMT	https://www.future2030.net/kht	C:/My%20Web%20Sites/futre/www.future2030.net/kht.html	(from https://www.future2030.net/services)
17:10:07	2508/2508	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Apr%202020%2014:10:04%20GMT	https://static.wixstatic.com/media/adc99d_a67efa8411264c87a2d38d450b27f128~mv2.jpg/v1/crop/x_0,y_1,w_330,h_331/fill/w_147,h_147,al_c,q_80,usm_0.66_1.00_0.01,blur_3/ARABIC_edited.jpg	C:/My%20Web%20Sites/futre/static.wixstatic.com/media/adc99d_a67efa8411264c87a2d38d450b27f128_mv2.jpg/v1/crop/x_0,y_1,w_330,h_331/fill/w_147,h_147,al_c,q_80,usm_0.66_1.00_0.01,blur_3/ARABIC_edited.jpg	(from https://www.future2030.net/services)
17:10:08	3524/3524	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Apr%202020%2014:10:05%20GMT	https://static.wixstatic.com/media/adc99d_85871deb0604499dba00b83bce9d599d~mv2.jpg/v1/crop/x_143,y_0,w_441,h_533/fill/w_145,h_175,al_c,q_80,usm_0.66_1.00_0.01,blur_3/FITNESS.jpg	C:/My%20Web%20Sites/futre/static.wixstatic.com/media/adc99d_85871deb0604499dba00b83bce9d599d_mv2.jpg/v1/crop/x_143,y_0,w_441,h_533/fill/w_145,h_175,al_c,q_80,usm_0.66_1.00_0.01,blur_3/FITNESS.jpg	(from https://www.future2030.net/services)
